,,,,,,,,,,,,,,,,,,,
Market Center,api_count,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,diff_1,pct_change_1,month_feature,month_sin,month_cos,AGGRESSIVE MULTIPLIER,DORMANT MULTIPLIER
Houston,27.159473,0.29859,0.248237,0.017667,-0.10723,0.130865,0.188165,-0.259109,0.580102,0.03485,-0.431389,-0.707113,0.050353,8.367841,0.633624,2.814061,-12.774921,1.485,0.674
